기독교 학과,기독교,,,
국어국문학과,국어,국문,국국과,국국
영어영문학과,영어,영문,영영과,영영
독어독문학과,독어,독문,독독과,독독
불어불문학과,불어,불문,불불과,불불
중어중문학과,중어,중문,중중과,중중
일어일문학과,일어,일문,일일과,일일
철학과,철학,,,
사학과,사학,,,
문예창작전공,문창과,,,
영화예술전공,영예,영예과,영예전,
스포츠학부,스포츠,,,
수학과,수학,,,
물리학과,물리학,물리,,
화학과,화학,,,
정보통계?보험수리학과,정보통계,보험수리,,
의생명시스템학과,의생명,의시,,
법학과,법학,,,
국제법무학과,국제법무학,국제법무,국법과,
사회복지학부,사회복지학,사복과,,
행정학부,행정,,,
정치외교학과,정치외교,정외과,,
정보사회학과,정사과,정보사회,,
언론홍보학과,언홍과,언론홍보,,
평생교육학과,평교과,평생교육,,
경제학과,경제학,경제,,
글로벌통상학과,글통과,글통,글로벌통상,
금융경제학과,금융경제,금경과,,
국제무역학과,국제무역,국무과,,
경영학과,경영학,경영,,
벤처중소기업학과,벤처중소,벤처중소기업,벤처중소기업학,
회계학과,회계학,회계,,
금융학부,금융학,금융,,
벤처경영학과,벤처경영,벤처경영학,벤경과,벤경
혁신경영학과,혁신경영학,혁신경영학과,혁경과,혁경
복지경영학과,복경,복경과,복지경영,복지경영학
화학공학과,화공,화공과,화학공학,
유기신소재ㆍ파이버공학과,유기신소재,파이버,,
전기공학부,전기공학,전기공,,
기계공학부,기계공학,기계공,,
산업 ㆍ정보시스템공학과,산정과,산업정보,산업정보학과,산업정보시스템공학과
건축학부,건축,건축학,,
컴퓨터학부,컴학,,,
전자공학전공,전공전,전자공학,,
IT융합전공,IT,,,
글로벌미디어학부,글로벌미디어,글미,,
소프트웨어학부,소프트,소프트웨어,,
스마트시스템소프트웨어학과,스시소,스마트,,
미디어경영학과,미디어경영,미디어경영학,,
